,score
321,6.6884677318643915
322,8.8350241310996
323,10.214650470194288
324,6.485155680745526
325,7.990765686945799
326,7.8280301890985005
327,7.337653979722964
328,8.444412829132009
329,7.829230406250805
330,7.777727945380607
331,7.528092610712571
332,7.892399014163891
333,7.913631822347819
334,7.945515936950397
335,6.540852924297641
336,7.159673015453221
337,7.5298240574019895
338,7.203177820200555
339,9.520949583414641
340,7.6301782163696705
341,10.885999222471499
342,7.599477553675572
343,9.528591277159707
344,10.691181637398547
345,7.5235332967538335
346,9.892656079508903
347,7.6748722965570995
348,9.737380714340443
349,7.14693196222688
350,7.041763017299756
351,7.730515906039755
352,6.558162772334889
353,6.777699036000117
354,7.383500519290713
355,5.777568007087333
356,7.018814932701047
357,5.8888769856846865
358,4.765987682034523
359,6.8842601138880095
360,7.454349638913481
361,4.81881249386667
362,9.504587231401699
363,8.256499983826787
364,5.222452253188346
365,7.604886833355714
366,6.084034790674908
367,5.554247890696259
368,6.309028270740142
369,4.263270457786012
370,5.2184870643436385
371,4.842031889282765
372,6.189020567555049
373,7.205376087901147
374,5.737036813363942
375,5.43571757142252
376,6.607703981879059
377,7.5483095291788755
378,6.130369405412588
379,4.53935302873762
380,4.573149340943487
381,5.633287565869803
382,3.4885515082013208
383,4.798896424662093
384,3.835948514143641
385,3.9105268840212175
386,4.4635768136564
387,2.9989913431731163
388,5.198684262133293
389,4.847604495592948
390,6.86552179311416
391,5.582274880844011
392,4.685896775074763
393,5.022733801001434
394,12.319932718701516
395,3.87373863755441
396,5.511471077533577
397,3.839845543622947
398,3.8262987722114956
399,5.291957506897998
400,6.282846286563678
401,5.718285298035298
402,8.996063161375663
403,5.721121794871794
404,4.782084973357159
405,5.039116010086406
406,5.466847737986548
407,4.669065974848676
408,4.146622925685427
409,5.181938145978174
410,5.21017616802015
411,7.509510869565218
412,9.357022144522146
413,6.566312698606816
414,4.676593052680008
415,5.630649566077197
416,5.9148807955329685
417,5.507735092651252
418,6.486570260833426
419,4.319842392085038
420,7.494355873284883
421,5.150227197230872
422,6.573170700719559
423,5.249603174603174
424,4.052387528063047
425,4.78510791724726
426,5.860294915657819
427,5.8321993988983145
428,5.299034648642067
429,4.606385637154657
430,7.61701615158691
431,6.152082157707158
432,5.5053075489325485
433,8.411641152306474
434,6.834989648033127
435,6.794622113997114
436,4.37277203188968
437,5.703712470499168
438,6.176478174603175
439,4.73394777265745
440,4.436792084726868
